지점,지점명,일시,기온,풍속,습도,해면기압
232,천안,2021-01-21 1:00,-2.1,0.1,74,1028.9
232,천안,2021-01-21 2:00,-1.6,0.3,72,1028.9
232,천안,2021-01-21 3:00,-1,0.7,70,1028.6
232,천안,2021-01-21 4:00,-0.7,0.8,70,1028.3
232,천안,2021-01-21 5:00,-0.9,0.6,74,1028
232,천안,2021-01-21 6:00,-0.8,1.7,73,1027.9
232,천안,2021-01-21 7:00,-0.3,1.4,71,1027.8
232,천안,2021-01-21 8:00,0,2.2,69,1027
232,천안,2021-01-21 9:00,1.6,0.2,60,1026.7
232,천안,2021-01-21 10:00,3.3,0.4,51,1026.8
232,천안,2021-01-21 11:00,6.3,2.1,43,1025.6
232,천안,2021-01-21 12:00,8,1.3,43,1024.4
232,천안,2021-01-21 13:00,8.9,0.8,48,1023.1
232,천안,2021-01-21 14:00,9,0.1,50,1022.4
232,천안,2021-01-21 15:00,7.3,0,84,1022.2
232,천안,2021-01-21 16:00,6.1,0.7,96,1022.3
232,천안,2021-01-21 17:00,6,0.9,100,1022.5
232,천안,2021-01-21 18:00,5.6,1,100,1022.5
232,천안,2021-01-21 19:00,5.3,1.2,100,1022.4
232,천안,2021-01-21 20:00,4.9,0.9,100,1022.1
232,천안,2021-01-21 21:00,4.7,0.4,100,1021.9
232,천안,2021-01-21 22:00,4.6,0.4,100,1021.6
232,천안,2021-01-21 23:00,4.4,0.3,100,1021.3
232,천안,2021-01-22 0:00,4.6,0,100,1021.1
232,천안,2021-01-22 1:00,4.5,0,100,1020.6
232,천안,2021-01-22 2:00,4.4,0.2,100,1020
232,천안,2021-01-22 3:00,4.3,0,100,1019.9
232,천안,2021-01-22 4:00,3.8,0.1,100,1019.7
232,천안,2021-01-22 5:00,4.3,0,100,1019.6
232,천안,2021-01-22 6:00,4,0.2,100,1020
232,천안,2021-01-22 7:00,4.1,0.3,100,1020.5
232,천안,2021-01-22 8:00,4,0.6,100,1020.7
232,천안,2021-01-22 9:00,4.7,0,100,1021.1
232,천안,2021-01-22 10:00,5.4,0,100,1021.3
232,천안,2021-01-22 11:00,6.3,0,100,1021.3
232,천안,2021-01-22 12:00,7.1,0.2,100,1020.6
232,천안,2021-01-22 13:00,8.2,1.2,100,1019.9
232,천안,2021-01-22 14:00,8.5,0.5,98,1019.1
232,천안,2021-01-22 15:00,8.2,1.2,99,1019.2
232,천안,2021-01-22 16:00,7.8,1.4,100,1019.1
232,천안,2021-01-22 17:00,7.7,0.3,100,1019.6
232,천안,2021-01-22 18:00,7.6,1,98,1020.2
232,천안,2021-01-22 19:00,7.4,1.8,97,1020.4
232,천안,2021-01-22 20:00,7,1.1,100,1020.8
232,천안,2021-01-22 21:00,6.2,0.3,100,1020.7
232,천안,2021-01-22 22:00,6.4,0.5,100,1020.7
232,천안,2021-01-22 23:00,6.1,0.5,100,1020.2
232,천안,2021-01-23 0:00,5.7,0.7,100,1020.2
232,천안,2021-01-23 1:00,5.4,0,100,1020
232,천안,2021-01-23 2:00,5.1,0.4,100,1020
232,천안,2021-01-23 3:00,5.4,0.9,100,1020
232,천안,2021-01-23 4:00,3.3,0.3,100,1019.9
232,천안,2021-01-23 5:00,4.6,1.7,100,1019.6
232,천안,2021-01-23 6:00,5.6,1.5,93,1020.1
232,천안,2021-01-23 7:00,6.1,1.8,87,1020.3
232,천안,2021-01-23 8:00,5.6,2,87,1020.4
232,천안,2021-01-23 9:00,6.5,2,82,1020.7
232,천안,2021-01-23 10:00,8,3.8,75,1020.8
232,천안,2021-01-23 11:00,9.3,4.2,70,1020.3
232,천안,2021-01-23 12:00,10.8,3.5,68,1019.4
232,천안,2021-01-23 13:00,11.6,4.9,65,1018.5
232,천안,2021-01-23 14:00,12,4.2,62,1018
232,천안,2021-01-23 15:00,12,3.2,63,1018.1
232,천안,2021-01-23 16:00,12,5.2,59,1018.5
232,천안,2021-01-23 17:00,11.5,4.8,60,1019.1
232,천안,2021-01-23 18:00,10.8,5.4,61,1020
232,천안,2021-01-23 19:00,9.6,2.3,65,1020.9
232,천안,2021-01-23 20:00,8.6,2.5,66,1021.6
232,천안,2021-01-23 21:00,8.4,2.4,67,1022.1
232,천안,2021-01-23 22:00,7.7,3.6,68,1022.6
232,천안,2021-01-23 23:00,7.2,2.6,69,1023.1
232,천안,2021-01-24 0:00,6.9,3.4,68,1023.4
232,천안,2021-01-24 1:00,6.6,3.4,69,1023.5
232,천안,2021-01-24 2:00,6,2.4,72,1024
232,천안,2021-01-24 3:00,5.3,2,75,1024.1
232,천안,2021-01-24 4:00,3.9,1.6,81,1024.2
232,천안,2021-01-24 5:00,2.5,1.5,88,1024.7
232,천안,2021-01-24 6:00,2.7,0.9,86,1025.4
232,천안,2021-01-24 7:00,0.4,0.6,98,1026.5
232,천안,2021-01-24 8:00,-0.3,0,100,1026.9
232,천안,2021-01-24 9:00,1.8,0.2,92,1027.9
232,천안,2021-01-24 10:00,5.5,0.5,74,1028.2
232,천안,2021-01-24 11:00,9,3,58,1027.7
232,천안,2021-01-24 12:00,10.1,2.1,54,1027.3
232,천안,2021-01-24 13:00,10.8,2.2,50,1026.3
232,천안,2021-01-24 14:00,12.1,2.5,43,1025.8
232,천안,2021-01-24 15:00,12.2,3.1,42,1024.9
232,천안,2021-01-24 16:00,11.8,1.6,46,1025.2
232,천안,2021-01-24 17:00,11.7,2.6,46,1025.2
232,천안,2021-01-24 18:00,10.4,0.8,51,1027
232,천안,2021-01-24 19:00,6.2,0.2,70,1027.2
232,천안,2021-01-24 20:00,4.4,0.8,77,1027.4
232,천안,2021-01-24 21:00,3.4,0.1,84,1027.5
232,천안,2021-01-24 22:00,2.2,0.4,90,1027.6
232,천안,2021-01-24 23:00,1.8,0,93,1028.6
232,천안,2021-01-25 0:00,0.9,0.2,96,1029.3
232,천안,2021-01-25 1:00,0.4,0.2,97,1030.3
232,천안,2021-01-25 2:00,0.2,0.7,98,1030.3
232,천안,2021-01-25 3:00,0.4,0.5,98,1030.3
232,천안,2021-01-25 4:00,-0.3,0.3,99,1029.6
232,천안,2021-01-25 5:00,-0.1,0,99,1029.8
232,천안,2021-01-25 6:00,-0.3,0,99,1030.1
232,천안,2021-01-25 7:00,-0.5,0.1,99,1029.7
232,천안,2021-01-25 8:00,-0.4,0,100,1029.6
232,천안,2021-01-25 9:00,0.8,0.6,97,1029.3
232,천안,2021-01-25 10:00,4.1,0.8,87,1029.1
232,천안,2021-01-25 11:00,8.1,2.3,66,1028.9
232,천안,2021-01-25 12:00,9.8,2.9,56,1027.9
232,천안,2021-01-25 13:00,11,2,50,1026.8
232,천안,2021-01-25 14:00,11.7,2.6,48,1025.5
232,천안,2021-01-25 15:00,12.3,2.4,43,1024.9
232,천안,2021-01-25 16:00,12.6,2.9,43,1024.1
232,천안,2021-01-25 17:00,12.3,1.4,40,1024.3
232,천안,2021-01-25 18:00,10.4,1,47,1024.8
232,천안,2021-01-25 19:00,6.1,0.5,66,1024.9
232,천안,2021-01-25 20:00,4.4,0.4,74,1024.6
232,천안,2021-01-25 21:00,3.3,0.6,79,1024
232,천안,2021-01-25 22:00,2.6,0.4,82,1023.7
232,천안,2021-01-25 23:00,2.5,0.4,85,1023.8
232,천안,2021-01-26 0:00,2.3,0.5,87,1023.6
232,천안,2021-01-26 1:00,2.2,0.5,88,1023.7
232,천안,2021-01-26 2:00,1.9,0.4,91,1023.6
232,천안,2021-01-26 3:00,2.4,0.9,92,1023.1
232,천안,2021-01-26 4:00,2,1.2,94,1021.8
232,천안,2021-01-26 5:00,2.6,0.1,91,1021.7
232,천안,2021-01-26 6:00,2.6,0.6,91,1021.4
232,천안,2021-01-26 7:00,2.7,1.4,92,1021.4
232,천안,2021-01-26 8:00,3.4,0.1,91,1021.5
232,천안,2021-01-26 9:00,3.5,0.1,97,1021.8
232,천안,2021-01-26 10:00,3.4,0.8,100,1022
232,천안,2021-01-26 11:00,4.4,0.5,100,1021.7
232,천안,2021-01-26 12:00,5.4,0.9,100,1021.2
232,천안,2021-01-26 13:00,6,0.4,100,1020.2
232,천안,2021-01-26 14:00,6.3,0.7,98,1019
232,천안,2021-01-26 15:00,6.9,1.2,97,1018.6
232,천안,2021-01-26 16:00,7.3,1.3,93,1018.3
232,천안,2021-01-26 17:00,6.7,2.5,99,1018.5
232,천안,2021-01-26 18:00,4.7,2.3,100,1020.1
232,천안,2021-01-26 19:00,4.7,2.1,97,1020.9
232,천안,2021-01-26 20:00,4.4,1.2,97,1021.2
232,천안,2021-01-26 21:00,4.4,1.8,93,1021.4
232,천안,2021-01-26 22:00,4.1,1.1,94,1022
232,천안,2021-01-26 23:00,3.8,2,94,1022.4
232,천안,2021-01-27 0:00,3.3,1.2,94,1023
232,천안,2021-01-27 1:00,2.3,1,93,1023.4
232,천안,2021-01-27 2:00,2,1.3,92,1024.2
232,천안,2021-01-27 3:00,2.1,1.3,88,1024.8
232,천안,2021-01-27 4:00,0.8,0.9,96,1025.5
232,천안,2021-01-27 5:00,0.7,0.8,86,1026
232,천안,2021-01-27 6:00,-0.1,1,87,1026.1
232,천안,2021-01-27 7:00,-1.1,0.5,87,1026.2
232,천안,2021-01-27 8:00,-1.6,0.1,95,1026
232,천안,2021-01-27 9:00,0.1,0.2,85,1026.3
232,천안,2021-01-27 10:00,2,1.8,52,1026.5
232,천안,2021-01-27 11:00,3.9,1.4,38,1026.5
232,천안,2021-01-27 12:00,4.7,2.2,29,1025.4
232,천안,2021-01-27 13:00,5.6,2.1,28,1024
232,천안,2021-01-27 14:00,6.1,3,29,1023.5
232,천안,2021-01-27 15:00,6.9,2.1,26,1023.8
232,천안,2021-01-27 16:00,6.3,2.1,28,1024.1
232,천안,2021-01-27 17:00,4.9,2.6,32,1024
232,천안,2021-01-27 18:00,3.1,0.9,37,1024
232,천안,2021-01-27 19:00,1.7,1.1,39,1023.7
232,천안,2021-01-27 20:00,0.4,1.5,48,1023.5
232,천안,2021-01-27 21:00,0.3,0.7,52,1023.4
232,천안,2021-01-27 22:00,-0.9,0.8,59,1023.4
232,천안,2021-01-27 23:00,-1.5,0,68,1023.4
232,천안,2021-01-28 0:00,-2,0.2,70,1022.9
232,천안,2021-01-28 1:00,-2.2,0.2,74,1021.7
232,천안,2021-01-28 2:00,-2.6,0.3,78,1021
232,천안,2021-01-28 3:00,-2.6,0.3,80,1020.2
232,천안,2021-01-28 4:00,-2.8,0,83,1019.5
232,천안,2021-01-28 5:00,-2.7,1.1,82,1017.9
232,천안,2021-01-28 6:00,-2.9,0.5,83,1017.2
232,천안,2021-01-28 7:00,-3.5,0.6,86,1017.7
232,천안,2021-01-28 8:00,-3.7,0.2,88,1017.5
232,천안,2021-01-28 9:00,-2.7,1.3,81,1016.4
232,천안,2021-01-28 10:00,0.9,1.1,64,1015.1
232,천안,2021-01-28 11:00,2.5,2.8,45,1014.8
232,천안,2021-01-28 12:00,0.3,1.9,100,1015.3
232,천안,2021-01-28 13:00,0.8,3.6,84,1015.2
232,천안,2021-01-28 14:00,0.1,4.8,67,1016
